Source.Name,Statement,Output
kannada,DiAdi nHuge fan from nTamilnadu,Positive
kannada,                             ,Mixedfeelings
kannada,               ,Positive
kannada,        tiktok                       ,Negative
kannada,urkolli nodi avrella,Negative
kannada,Matte release made pakka reseve madkolthare navu hoge nodthive please,Positive
kannada,Swag karenge sabka swagathek tha tiger  song copied music,Negative
kannada,Rakshit boss Super dance u r looking like karate king shaankar nag ND Vishnuvardan boss m Vishnu sir fan,Positive
kannada,Tik tok  bevarsigalanna chaina   gadiyalli chaddiyalli bomb ettu chaina  kade  odisa beku avaga sari agutte,Negative
kannada,Nandi Parthasarathi       ,Positive
kannada,Super edit anna,Positive
kannada,MOVIES BOX innu baiko naan yen avn fan alla avn film fan ashte,Negative
kannada,Hindi song yavaga release madtira,Positive
kannada,Shambu baligar avara maathaduva shaili super,Positive
kannada,Super Guru,Positive
kannada,Rashmika andre yaru guru nThukali sule edalala avle erboda,Negative
kannada,Nanagu hage ansate,Positive
kannada, HANDS UP      ,Positive
kannada,      ,Negative
kannada,Kalki Avatharasuperb song,unknownstate
kannada,Rakshit shetty sir ge jai,Positive
kannada,   ,Negative
kannada,Suppar anna I am army boy,Mixedfeelings
kannada,obba batta na gi e rethi bare you du sare alla namma darmmakenave,Negative
kannada,Heroheroin very good,Positive
kannada,        ,Positive
kannada,jai d boss,Positive
kannada,        ,Positive
kannada,         ,Positive
kannada,Super rakshith shetty,unknownstate
kannada,I like your comments,Positive
kannada,                 success     ,Negative
kannada,Edu charitre srustiso Avatara awdu annuvavaru like madi,Positive
kannada,Kannadada matthondu maligallu,Mixedfeelings
kannada,  proud to be sandal wood,Positive
kannada,Sakkatt agine   kyakirsi  ugdidira  sir,Positive
kannada,Sir 5paisacom adara bagge video madi Open madodhu hege and close madodhu hege antha Plz sir,Positive
kannada,Raxit shetty uvarige ondu namaskar ide tara uvaru kannad film madali uvar comedy tumba chennagide,Positive
kannada,Super Guru neenu,Positive
kannada,Miikaaaaa Instagramers roast next Anna,Positive
kannada,   ,Positive
kannada,Nandi Parthasarathi balegar bale bale  matte ninna akkna minda kano nanu mindri magne randi maga ninu bere heros bagge kettadagi comments madodu bidu navu yaru tantegu hoglla boss tantege bandre gottala,Negative
kannada,twisted formals nin amman yako lowda nkn dboss tus patakinin obba sule maga,Negative
kannada,Promotion heg madodo anta kaliri,Negative
kannada,Maga super song,Positive
kannada,         5000         ,Negative
kannada,      All the best,Positive
kannada,  ,Mixedfeelings
kannada,Togari thipan hasya chataki supar,Positive
kannada,Namma deshanu china thara aitu andre  badatanane erala sir,Positive
kannada,2nd time yaar nodtha ideera,Positive
kannada,Super sang guru,Positive
kannada,Thankz bro troll alla bro Roast,Positive
kannada,Manohar Hiremath     ,Negative
kannada,Super video,Positive
kannada,100 times correct,unknownstate
kannada,Hats off to News channel n  ,Positive
kannada,Howdu bro app uninstall madudrea avrig amount hogodu kamiagutea plzzzzz uninstall Madi beavarce appp Adu thuuuuu,Negative
kannada,31 M,Mixedfeelings
kannada,Nightwatchman Tamil nadavrige gottu Sudeep bagge neen Yav thukali anta nin mat keltare,Negative
kannada,super togari tippa,Positive
kannada,Diya thumba chennagide ondu olle prayathna movie kone vargu sinimada ondu bhagavagi ondu olle feeling nalli movie na nodthidde but kone seen nijakku ishata aglilla tragidi ishtondu bekitta ellara manisige ishta ada adi na sayisbekitta so last seen nodida thakshna alliyavaregu idda feel pat antha Maya agi edenu heeg madudru ansuthe,Mixedfeelings
kannada,sp song jai D Boss,Positive
kannada,Hands up    matte song kelbeku anta ansorige,Positive
kannada,     ,Negative
kannada,       25           ,Positive
kannada,JACK SPARROW R S,unknownstate
kannada,All the best n      Yella  kannadigana paravagi nYella nataru nammavare,Positive
kannada,TROLL MONSTERKANNADA nin Amman sule maga me Yello majestic Alli,Negative
kannada,         ,Positive
kannada,    n50,unknownstate
kannada,TROLL MONSTERKANNADA bari nim amma matra kodadu yakadre nim amma hutt dagar adikke nin na hetirodh,Negative
kannada,     Brother,Negative
kannada,       ,Mixedfeelings
kannada,Song starting English quote tegdu kannada dalle iddiddre chennagirtittu,Negative
kannada,Entha valle    trailer  ri   edu   great nKelhu   kachda   galu n  intha   prathibe galu   karnataka dalidru   n dudina aase ge   low   quality   movie  madi  nkannada andre   jana  intrest thoris  bardu   naa  thara   aprada   madthidare,Positive
kannada,                         ,Negative
kannada,Karthik Gowda Dacchu hmm aythu dagarge hosa award kodtini bandli star antha helbidu,Negative
kannada,       ,Negative
kannada,Pwoli saanam my,unknownstate
kannada,IAS IPS madirorigintha politicians  ge value jasti iro namma vishala manassina Indians badlagovargu nnam desha beliyodu kasta ide,Positive
kannada,            n  n      ,Positive
kannada, mattu  eradu samana artha iro padagalu,Positive
kannada,TROLL MONSTERKANNADA nNimm Todeya release gu modale damaar,Negative
kannada,Naa innomme e movie naodalla  avanajji eradu dina aytu hale hudgi nenapagi uta illa nidde illa sayotara annistide,Negative
kannada,  qhqjrjsrlfktiskg,unknownstate
kannada,Nimn Tarah Manisha Samaj ke Bhag you are great,Positive
kannada,Anna nin super anna,Positive
kannada,  ,Positive
kannada,               ,Positive
kannada,D boss  fans full support Successful hagli movie,Positive
kannada,Yash cult Guru lo guru bere heroes na support maadidre nin gantenaadru hoguttaa Ellaa actors avre depore,Negative
kannada, SA a,unknownstate
kannada,Ultimate kannada movie super,Positive
kannada,Super bro keep doing bro,Positive
kannada,Awesome song guru  sir  superb,Positive
kannada,        song  ,Positive
kannada,yarappa ee hadannu dislike madiddu  mostly Rashmika 11k sarthi dislike maadirbeku ha ha ha ha,Mixedfeelings
kannada,first time keldaga ista agalla amel kelta kelta kelbeku ansatte nimgu haage annista,Positive
kannada,Ee news reporters sutti balasi information helodanna dayamadi badalayisikolli,Negative
kannada,Nangu tumba ase movie nodbekanta adre movie near by yellu illa,Negative
kannada,Views got struck,unknownstate
kannada,Raj T yes,unknownstate
kannada,1 trending in India,Positive
kannada,     all pan    ,Positive
kannada,Tik tok beda Anna,Negative
kannada,Idu idu 156actually bekagidduosm music,Positive
kannada,Uppi dialog ultimate ella sede nann maklu,Positive
kannada,Bro hindi language pls,unknownstate
kannada,Rashmika Thulli irve ankoavro ondu like,Negative
kannada,Super movie  bera level kannada industry kodithe bro yellaru miss madthe nodbaku,Positive
kannada,Namma deshadalli Somberigalu jaasthi,Negative
kannada,Estella troll madidru roast madidru konege deshakke ago nastada bhagge gothadru inna tiktok vahiskondu bartharandre evrgella yen anbek guru nnikal lawde,Negative
kannada,            ,Positive
kannada,E movie li evre nan fav,Positive
kannada,                     ,Positive
kannada,E film baari ede ante guru nodle beku,Positive
kannada,Volledagli sir nimge,Positive
kannada,   ,Positive
kannada,Troll Stupid Fanslo gaandu thulle school ge henu raja kottavra child nan magane balegara fanu hogu school ge hogi hodkondiru sumne yake baiskothiya,Negative
kannada,Innodhu viruss bandhidhyalla China dalli mungusi viruss adra bagge thilsi,Positive
kannada,Worst  RaajakiyanBest  prajaakiya,Negative
kannada,     ,Positive
kannada,Best madali olle  belavanige next level sandalwood,Positive
kannada,Navu Rent tagondu,unknownstate
kannada,RIP kannada film chamberNo proper plannings,Negative
kannada,                ,Negative
kannada,Nev helerodu tappe illa sir,Mixedfeelings
kannada,Please intha cinemagalannu     gellisona namma hemmeya Kannada cinema,Positive
kannada,Superb song Guru,Positive
kannada,Dhee Pu adu hachchagannda allappa achchakannada,Mixedfeelings
kannada,Super song all the best from Shivaraj Kumar fans,Positive
kannada,Rock Siddu yaako gaandu soole magane naanu ninna thangina rape maadidna yelo mathannu ole mathanaadu nanagu baahi ide nanage gothilade thapagide Neenu mathado reethi badalisiko ,Negative
kannada,Chirag CHIRU le child chapati gala artha maadkolli film chennagidre yaar hero ne irli naan nodtini nim booos aagli,Negative
kannada,Bejar manporchi PruthviAmber,Mixedfeelings
kannada,   ,Positive
kannada,Nkn benki songASN,Positive
kannada,Super meaning song,Positive
kannada,Bro tiktok ban agide adhre barute ide swalpa settings ge hogi Language Change madi  Barute,Positive
kannada,Sirnivu superb sir,Positive
kannada,Friends Block tickets kuda sigalla,unknownstate
kannada,Matte Hands up enu,unknownstate
kannada,32 million boys ,Mixedfeelings
kannada,Super song,Positive
kannada,Namboke sadyane illa,Negative
kannada,  bgm,Positive
kannada,  ,Positive
kannada,  n 100   n ,Positive
kannada,Nithya Sudha avaru devategalu devategalige Ella bhashe barutte,Positive
kannada,Abbbbaa super tik tok ban ayithu,Positive
kannada,GTA 5 bro,unknownstate
kannada,         ,Negative
kannada,  ,Positive
kannada,all India kicha sudeep fanz like,Positive
kannada,Ur super guru,Positive
kannada,Nandi Parthasarathi     ,Negative
kannada,Hands up,unknownstate
kannada,       ,Negative
kannada,VARAPRASAD K K Darshan sir fan agi ist local agi mathadada,Negative
kannada,very nice tippa story,Positive
kannada,  ,unknownstate
kannada,Sorry theaters ge bardiddakkebest movie,Positive
kannada,     song Rakshith sir all the very best,Positive
kannada,    ,Negative
kannada,               ,Negative
kannada,     ,Positive
kannada,First time kannada movie film video song full bittirodu,Positive
kannada,slum dialogue pogaru,Mixedfeelings
kannada,   ,Negative
kannada,                                     ,Positive
kannada,Nandi Parthasarathi kurishetra alla adu kurukshetra ,Mixedfeelings
kannada,Sir ondu mathu nange thumba esta aithu        ,Positive
kannada,Music superaagi kottidiya guru,Positive
kannada,jai d boss,unknownstate
kannada,Film yavaga release,unknownstate
kannada,Naveen R Naan sigapu manithan,unknownstate
kannada,         ,Positive
kannada,E story kelidre yent dukha kuda maribahudu very nice story,Positive
kannada,satishnithyanandam nin yogyathege meeri mathgal aadbardu,Negative
kannada,Iii prends yaradru edira,unknownstate
kannada,Super guru Ella record break made madtira guru nivu i love sir,Positive
kannada,Asn jai kannada,Positive
kannada,E song kelta idre eno ondu tara feel agutte Enadru e music film nalli allalli saddu madta idre film pakka industry hit All the best ASN from D BOSS FANS,Positive
kannada,         ,Positive
kannada,Kannada film industry ge mattondu gari,Positive
kannada,Super guru,Positive
kannada,         ,Positive
kannada,444444 super 30,unknownstate
kannada,           ,Positive
kannada,     n,Negative
kannada,Vijay Prakash sakkath Voice,Positive
kannada,Nikistark x promotion chennagi idrunu bere language ge jaathi priority kodtarenam state li kannada movie ge support madalla distributors,Negative
kannada,Amazon prime music ali ide,Mixedfeelings
kannada,  ,Positive
kannada,MADHU S B,unknownstate
kannada,Nandi Parthasarathi nin Amman sule magane nin number send gandu,Negative
kannada,Nanu 14 sala nodidha movie idhu,unknownstate
kannada,Nandi Parthasarathi     ,Negative
kannada,Film nodidmele ee song ge addict aadavaru like maadinYalllrigu thanks for 1000 likes,unknownstate
kannada,Actually idu chenagirodu,Mixedfeelings
kannada,   2,Mixedfeelings
kannada,Lo gaandu nan magne d boss fans yake sata tariyoke dislike madtara nBere avru nodi urkolokke en avru bucket and balegara fans he,Negative
kannada,   driver            god bless you sir,Positive
kannada,Yaru nammamatu kelalla avarige tochiddu avaru madtare,Positive
kannada,Yeshto dinagal nantra sanchari vinay avranna nodi kushi aithu,Positive
kannada,E varsha bad news Keli Keli saakagittufirst good news of 2020,Positive
kannada,               ,Positive
kannada,Sampoorna kannadada hadu thumba channagide,Positive
kannada,   HANDSUP   ,Positive
kannada,Kachada Nan nagini gane,Negative
kannada,Histu hellidri adre nimma background video pubg du kudanu Chinese howrde alwa first ninu pubg na stop madinNinu heliddu nanu tappu andilla adre hobbarige helo munche nanu correct agirabeku  k manDont feel bad anna,Negative
kannada,niv helid nija star antha bere akotidru karma,Positive
kannada,Lo nin d filme odtilla modlu anv film nodro amele bere filmge sprt madu sumne comnt akbitre film odbidutta bari builduppu,Negative
kannada,  ,Positive
kannada,Dboss kade inda dodda wel come madtivi,Positive
kannada,so am I,unknownstate
kannada,Bro super nive,Positive
kannada,Rakshith Shetty fans ondu like kodi nn,Positive
kannada,songs1 idena ,Mixedfeelings
kannada,                   n         ,Positive
kannada,Good song nPakka hit agutha,Positive
kannada,100 days pakka,Positive
kannada,super song ma,Positive
kannada,Nanu yash sudeep darshan appu cinema bittu yardu nodalla,unknownstate
kannada,All the BEST SANDALWOOD   ,Positive
kannada,    ,Positive
kannada,Movie is awesome,Positive
kannada,       ,Positive
kannada,Avara sarvadhukaranu plus point adre Alli sarvadhikarirana deshada heligegaagi use maadiddare,Positive
kannada,Nikistark x,unknownstate
kannada,Nim uru yavdu,unknownstate
kannada,I love Rakshith,Positive
kannada,BronNeen este Roast madudruChina ne beku anthare ivrnella gun thagond shoot madbeku aagadru India dalli eetara Desha virodhi galu sattadru saythare Nin video nodi actually innondsari tiktok alla mbl muttoku nin permission kelbeku nInnond strong aagi video madu guru,Negative
kannada,Amazing trailer      n 100   n        ,Positive
kannada,Bejar adaga nim video nodidre khushi agutte,Positive
kannada,    ,Positive
kannada,Last scene nali spoon ogediddu Rishab shetty na,Mixedfeelings
kannada,        ,Positive
kannada,Scorpion Studios  n ,Mixedfeelings
kannada,   ,Positive
kannada,   ,Mixedfeelings
kannada,Reamke king  d boss,Mixedfeelings
kannada,I will watch,Positive
kannada,Prudvi supar acting sakkat suuuuuupar film,Positive
kannada,   nIm surrender  ,Positive
kannada,Kumara Kantirava sari bidi navella kannadigare,Mixedfeelings
kannada,      ,Positive
kannada,Status nalli feelings haakondu,Positive
kannada,Wt a coment,Mixedfeelings
kannada,Miss India Dia,Positive
kannada,Bollywood range nali ide super song,Positive
kannada,yestu bejar Ali edhe nange nagu tadiyoke agtha Ella vidoe nodi,Negative
kannada,nkn havali neene hachko yak Andre ninge urdirutte,Negative
kannada,        4  ,Positive
kannada,Hi my friend,unknownstate
kannada,Marketing sariyaagi maadrappa istondu olle movie ge ingadre henge very imp marketing,Mixedfeelings
kannada,     ,Mixedfeelings
kannada,420 nan maga krishana,Negative
kannada,Cute kushii Ravi,Positive
kannada,Dislikers bayalli shegani Ida,Negative
kannada,Namm boss vijayaprakhas  voice super,Positive
kannada, planning     Business  improve ,Negative
kannada,Superb chennag heludri frndNam hatra tik tok app illa,Positive
kannada,First like,Mixedfeelings
kannada,207 reminds Im villain song,Mixedfeelings
kannada,Super  song I like it so much,Positive
kannada,Bgm release madi sir,Positive
kannada,    ,unknownstate
kannada,    ,Positive
kannada,                                 n   n          n          ,Positive
kannada,Tiktok sule makkla papa thumbs hurt agidri sadee nan gandu galuu,Negative
kannada,Nisha preety avalna avlu dodda buddivanthe deshada Asti avlu eval video Ella Andre Jana sathogtare antha avalge fallowers bekanthe instadalli thu kachadagalu taleli 3 kasina buddi Elladavella yak saytidave,Positive
kannada,Flop disaster film is on the wayn      ,Negative
kannada,Kai kesaradare bai masaru supper ser,Positive
kannada,  n,unknownstate
kannada,    ,Positive
kannada,Super song guru,Positive
kannada,Heloke padagale siktilla anno padakke artha sikkkantagide,Positive
kannada,652 film   andiddakee     aa     but this filmhas good story basestop promoting with 652all the best,Negative
kannada,Spr song guruuu,Positive
kannada,Super Bhai   nice comments  nSuper voice Anna nedu,Positive
kannada,Good morning mam,unknownstate
kannada, nnn  ola Uber    ,Negative
kannada,Super  sar,Positive
kannada,Nam boss avru Nam boss ivru antha kachadtirornella onde kade  sersi maja kodone shree mannarayan,Negative
kannada,super film guru,Positive
kannada,Back burn rashmika,Mixedfeelings
kannada,Sir nivu bhal chennag matadtiriall d best ,Positive
kannada,Dubai le fcbk le movie nodiedi  eyes le ner bantu nam jana ke yav cinema nodbeyaku anta gotilla kgf movie barueti odi badi hogi noderi,Positive
kannada,    ,Negative
kannada,Lemon  are you from odissa,unknownstate
kannada,Thank u thank u so much,Positive
kannada,  ,Mixedfeelings
kannada,     ,Positive
kannada,        ,Negative
kannada,Exlent movie my favorite movie,Positive
kannada,Thumba vishaya galannu thilisi kotri Amar prasad ravare thank you,Positive
kannada,Ondu week ga 11 films release madudraEe traffic jam alli nimana lock madi tamil telugu vehicles ge zero traffic in karnataka,Negative
kannada,DislikersDagar Rashmika fan,Negative
kannada,         ,Positive
kannada,   bigg boss   ,Mixedfeelings
kannada,Nandi Parthasarathi  ,Negative
kannada,       ,Mixedfeelings
kannada,Super Kati sir keli bala Varsha agittu namaskar shambhu sir,Positive
kannada,Looo bolee makla tiktokersnSule Galla India du economy jasthe madeee adree nkn china du madtheraaa nBole makla Nim na hang madbeku n Tiktokers nChina du spoons ninunBole maklla Sule mundee galan,Negative
kannada,Superb songn     ,Positive
kannada,siddu raj,unknownstate
kannada,Guru super video  Tq guru,Positive
kannada,   ,Positive
kannada,Super creative kannadiga,Positive
kannada,Manoj Prince yenu illa bro,unknownstate
kannada,          ,Positive
kannada,         ,Positive
kannada,Nija Never support communist party,Mixedfeelings
kannada,Girija Ram ,unknownstate
kannada,Sachien  karnatakada cinemadalli adbuta nata ivara tande nanu bala ista pado vekti abarigondu nanna abhinandane,Positive
kannada,Super guru song,Positive
kannada,Nim bagge nanu kai hetthi mugithini shankar ashwath sir,Positive
kannada,THEATRE NALLI HUDUKIDRU 28 Jana datutilla Krishna Bangalore nalli odeya ge,Negative
kannada,Bari ait re,unknownstate
kannada,Sir u copy dr vivek bindra sir,Mixedfeelings
kannada,supper  guru,Positive
kannada,Bgm   like ,Positive
kannada,Jai dboss,unknownstate
kannada,avAnE shriMAN NaRAyana,unknownstate
kannada,Super hero kannada in raksit,Positive
kannada,    super,Positive
kannada,Navu matar use madatilla jagatinna yella deshgalu use madatidaresolemagane,Negative
kannada,     ,Positive
kannada,Boli maklu yellaaa mobile ally nodtha edre nna theatre ge bandu yelli nodthaare,Negative
kannada,96 film tamil alli blockbuster gultoo,unknownstate
kannada,Kudlardh  yan ulle bro,Mixedfeelings
kannada,Loude illu nim sade fans giri shuru madudra Olle movie ge support everyone best in their part Thu nan makla nimantavrindane innu kannada industry explore agtilla,Mixedfeelings
kannada,THI SONG SINGER VIJAY SVOICE ZIG ZIG AMAZING,Positive
kannada,time kelidru kelbeku ansutte e song next level song,Positive
kannada,Ameer Humza beldhaythu bro ,Positive
kannada,All d best From DBOSS Fansz,Positive
kannada,Super comment bro,Positive
kannada,Sanju Sp adhu gun hesru,unknownstate
kannada,Gaali maathina bajaaru sudhi madide sumaaru,Negative
kannada,Un like madorge mana maryadine ella guru oledelidru kidodrthada adthare,Negative
kannada,Ya bro  true,unknownstate
kannada,tq super sir,Positive
kannada,Kgf fan like har,unknownstate
kannada,Guru ninu super,Positive
kannada,  ,Positive
kannada,Edu yav game sir,Mixedfeelings
kannada,Nanu tiktak ballisilla avivekialu youtub nu Kuda almadutidira nimmantorinda aellu agutte,Positive
kannada,    all the best,Positive
kannada,  movie nododhe ,Positive
kannada, 652        ,Negative
kannada,  ,Positive
kannada,Bro super video bro Eglaaaa adru buddhi barli namm e janagaligi,Negative
kannada,Adege astondu currect aagi heltira madam,Mixedfeelings
kannada,        ,Positive
kannada,DACCHU D BOSS ennu release aagila bro,Positive
kannada,Nandi Parthasarathi gaandu sule,Negative
kannada,Troll Stupid Fans dagar yaru nin Amma na,Negative
kannada,Super song guru,Positive
kannada,Guru sakatha helidiya guru,Positive
kannada,Idu idu bekittu actuallyjai rk boss,Positive
kannada,Howdu 100 percent,Mixedfeelings
kannada,    ,Positive
kannada,RAJ NRJ nijavada matu atleast navu avaranna nodi kaliyo pathagalu tumba irutte,Positive
kannada,Daily hakri nim video super agirutte,Positive
kannada,Kannada films next level,Positive
kannada,love  Diya,Positive
kannada,  nn        ,Positive
kannada,Sir really talent  andre nimde nimmantavaru beku nam deshakke,Positive
kannada,Super super super film I cant explain,Positive
kannada,Namma manigu banndidda ashwathama,Negative
kannada,Yes yes yes,unknownstate
kannada,         ,Positive
kannada,chenagide anta Pade pade nodoru swalpa husharu Data khali aguthe,Positive
kannada,Bro neevu helodhu correct naanu kooda tik tok uninstall  maadidiniadre bad words jaasthi use maadbedi bro,Mixedfeelings
kannada,          ,Positive
kannada,Ella hantha hellodakke hagodilla eddaru erabhahudu e prapancha ne ondu maye yavudakku uttara sigodilla nambikene ella,Positive
kannada,Nam college  alli degree  BE mugisdorigu nayvagi coding bareyoke barallla,Positive
kannada,   n   ASN   n   music   ,Positive
kannada,Super guru neenu tiktak sede galige yeneludru arthagalla,Positive
